,,"SVP, RWP",Demising Walls,Perimeter Walls And Bulkheads Insulation,Windows,Cable Trays,Perimeter Walls Stud & Board,Plumbing Risers,HVAC Risers,FCU & Ductwork,HVAC 2nd Fix,Pipework,Internal Walls - Frame & One Side,Internal Walls - Closure,Perimeter Bulkheads,Demising Walls - Skim,Internal Walls - Skim,? manual: Pods into final Position,Riser Doors,"? manual: Passive Fire Protection, Acoustic Performance",Electrical Risers,Radiators,Ceilings - Frame,Ceilings - Closure,Ceilings - T&J,Mist Coat,Grills & Diffusers,Underfloor Heating,Subfloor,Hard Flooring,Social Kitchens,Market Kitchens,Carpentry & Joinery,Lobby Doors,Entry Doors,Lift Device,Electrical Fixture,Fire Device,Lightning Fixture,Appliances,? manual: 1st Decoration Coat,? manual: Builders Clean,? manual: Sparkle Clean,Soft Flooring,? manual: Final Decorations,? manual: Final QA Check
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A0408,V,---,V,V,---,V,---,---,15%,,49%,V,V,,32%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0409,V,V,V,V,---,V,---,---,36%,,68%,99%,93%,,33%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0410,79%,V,99%,V,---,V,---,---,,,44%,99%,97%,,31%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,MC Riser - East,64%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - North,V,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,86%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,V,V,---,---,---,---,---,56%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,V,V,---,---,---,---,---,68%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,67%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_05,A0501,V,V,V,V,---,95%,---,---,23%,,48%,,,,25%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0501 Living Room,,---,,,---,,---,---,,---,---,,,,,,,---,,---,---,,,,,---,,,,---,---,---,---,---,---,---,---,---,---,,,,---,,
,A0502,V,V,V,V,---,V,---,---,15%,,42%,60%,46%,,18%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0503,V,V,V,V,---,V,---,---,17%,,33%,27%,,,16%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0504,V,V,V,V,---,V,---,---,12%,,33%,92%,87%,,29%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0505,V,V,V,V,---,V,---,---,11%,,35%,79%,68%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0506,V,V,V,V,---,V,---,---,13%,,49%,66%,48%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0507,V,V,V,V,---,V,---,---,15%,,61%,,,,21%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0508,V,---,V,V,---,V,---,---,,,43%,58%,31%,,22%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0509,V,V,V,V,---,V,---,---,32%,,36%,,,,47%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0510,V,97%,95%,V,---,94%,---,---,13%,,33%,55%,24%,,29%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0510 Living Room,,---,,,---,,---,---,---,---,---,,,,,,,---,,---,---,,,,,,,,,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - East,95%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,19%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - North,V,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,91%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,99%,---,V,99%,---,---,---,---,---,68%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,V,V,---,---,---,---,---,41%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,34%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_06,A0601,76%,V,61%,50%,---,60%,---,---,16%,,28%,,,,18%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0602,97%,V,V,V,---,V,---,---,15%,,29%,,,,22%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0603,V,V,91%,V,---,90%,---,---,17%,,35%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0604,98%,V,V,V,---,80%,---,---,12%,,27%,18%,,,31%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0605,V,V,V,V,---,V,---,---,11%,,20%,,13%,,43%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0606,V,V,89%,V,---,88%,---,---,15%,,29%,,13%,,16%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0607,V,96%,96%,V,---,62%,---,---,15%,,44%,13%,,,31%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0608,99%,---,96%,V,---,95%,---,---,14%,,22%,11%,,,36%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0609,V,V,V,V,---,V,---,---,31%,,17%,,,,33%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0610,79%,25%,74%,50%,---,73%,---,---,22%,,25%,,,,19%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,MC Riser - East,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,24%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - North,21%,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,89%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,V,99%,---,---,---,---,---,52%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,V,V,---,---,---,---,---,33%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,34%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_07,A0701,77%,V,97%,V,---,V,---,---,20%,,16%,21%,11%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,---,---,---,,,,,---,,
,A0702,V,V,V,V,---,V,---,---,15%,,32%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0703,V,V,91%,V,---,90%,---,---,17%,,32%,,,,21%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0704,V,V,V,V,---,77%,---,---,18%,,23%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0705,V,V,91%,V,---,92%,---,---,17%,,22%,18%,13%,,30%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0706,V,V,83%,V,---,82%,---,---,11%,,27%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0707,V,V,V,V,---,V,---,---,14%,,39%,,,,21%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0708,V,---,98%,V,---,97%,---,---,13%,,21%,,,,17%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0709,V,V,V,V,---,V,---,---,30%,,19%,,,,33%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0710,78%,V,97%,V,---,V,---,---,,,19%,,,,12%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,MC Riser - East,,---,---,---,---,---,---,V,---,---,---,---,---,---,---,---,---,,,31%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,85%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - South,24%,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,V,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,96%,---,V,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,67%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_08,A0801,99%,V,93%,V,---,92%,---,---,,,18%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0801 Living Room,,---,,,---,,---,---,,---,---,,,,,,,---,,---,---,,,,,---,,,,---,---,---,---,---,---,---,---,---,---,,,,---,,
,A0802,V,V,V,V,---,V,---,---,18%,,20%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0803,V,V,V,V,---,V,---,---,12%,,29%,,,,12%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0804,97%,V,V,V,---,V,---,---,21%,,15%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0805,V,V,V,V,---,V,---,---,20%,,15%,17%,13%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0806,V,V,V,V,---,V,---,---,,,20%,17%,13%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0807,V,V,V,V,---,V,---,---,19%,,25%,,,,22%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0808,90%,---,96%,V,---,95%,---,---,14%,,20%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0809,90%,V,V,V,---,V,---,---,36%,,14%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0810,V,V,90%,V,---,84%,---,---,,,17%,,,,24%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0810 Living Room,,---,,,---,,---,---,,---,---,,,,,,,---,,---,---,,,,,,,,,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - East,,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,,,22%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,99%,---,V,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,V,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,67%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_09,A0901,78%,71%,84%,50%,---,83%,---,---,,,15%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0902,V,V,V,67%,---,V,---,---,,,23%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0903,V,98%,87%,76%,---,86%,---,---,,,21%,,,,16%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0905,49%,V,V,V,---,V,---,---,,,11%,,,,18%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0906,74%,V,V,V,---,V,---,---,,,17%,,,,30%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0907,V,V,V,V,---,V,---,---,,,,,13%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0908,99%,V,V,V,---,V,---,---,,,17%,,,,26%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0909,67%,35%,95%,V,---,94%,---,---,,---,48%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,---,---,,,,,,,,
,A0910,82%,V,V,50%,---,V,---,---,,,15%,,,,27%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0911,78%,71%,74%,50%,---,75%,---,---,,,,,,,19%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,B0904,32%,87%,,,---,,---,---,,,,,,,14%,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,---,,
,MC Riser - East,,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,,,20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - south,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,89%,---,,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,,,---,,,,,,
,Plant,---,,,---,---,,---,---,,---,---,---,---,---,,,,---,,---,---,---,---,---,,---,,,,---,---,---,---,,---,---,---,---,---,,,,---,,
,South Corridor,---,V,---,---,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,67%,---,,,---,,,,,,
,Toilet East,,38%,---,---,---,---,---,---,---,---,,12%,14%,---,,,,---,,---,---,,,---,,---,---,,,---,---,,---,---,---,---,---,---,---,,,,---,,
,Toilet Lobby East,,V,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,---,---,,,,,---,---,,,---,---,---,---,---,---,---,,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_10,A1001,76%,V,97%,V,---,V,---,---,,,13%,,,,19%,,,---,,---,---,,,,,,,,,---,,,---,,---,---,---,---,,,,,,,
,A1002,V,V,V,V,---,V,---,---,,,16%,,,,12%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1003,V,V,89%,V,---,88%,---,---,,,,,,,15%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1005,V,V,V,V,---,V,---,---,,,20%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A1006,V,V,V,V,---,V,---,---,,,18%,,13%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1007,V,V,V,V,---,V,---,---,,,15%,,13%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1008,V,V,V,V,---,V,---,---,,,22%,,,,24%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1009,V,35%,96%,V,---,95%,---,---,,---,48%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,---,---,,,,,,,,
,A1010,V,V,V,V,---,V,---,---,,,20%,,,,18%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1011,77%,V,94%,V,---,V,---,---,,,23%,,,,18%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,B1004,74%,88%,,,---,,---,---,,,,,,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,---,,
,MC Riser - East,,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,,,23%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser - South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,---,V,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,34%,---,---,,---,,,,,,
,Storage A,---,,,---,---,,---,---,---,---,---,---,---,---,,,,---,,---,---,---,---,---,,---,,,,---,---,---,---,,---,---,---,---,---,,,,---,,
,Storage B,V,V,---,---,---,---,---,---,---,---,,---,---,---,,---,,---,,---,---,---,---,---,,---,---,,,---,---,---,---,,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_11,A1101,75%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1101 Living Room,,---,,,---,,---,---,,---,---,,,,,,,---,,---,---,,,,,---,,,,---,---,---,---,---,---,---,---,---,---,,,,---,,
,A1102,84%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1103,63%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1105,83%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A1106,60%,37%,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1107,58%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1108,88%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1109,V,,,V,---,,---,---,,---,25%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1110,91%,,,V,---,,---,---,,,,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1111,70%,,,V,---,,---,---,,,12%,,,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A1111 Living Room,,---,,,---,,---,---,---,---,---,,,,,,,---,,---,---,,,,,,,,,---,---,---,---,---,---,---,---,---,---,,,,---,,
,B1104,78%,,,,---,,---,---,,---,21%,,,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,---,,
,MC riser east,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC riser north,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC riser south,,---,---,---,---,---,23%,---,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,,---,,,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,,---,---,,---,---,---,---,---,,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,34%,---,---,,---,,,,,,
,StorageA,42%,,---,---,---,---,---,---,---,---,46%,---,---,---,,---,,---,,---,---,---,---,---,,---,---,,,---,---,---,---,,---,---,---,---,---,,,,---,,
,StorageB,,,,---,---,,---,---,---,---,---,---,---,---,,,,---,,---,---,---,---,---,,---,,,,---,---,---,---,,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_12,A1201,,,,,---,,---,---,,,,,,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,---,,,,,---,,
,A1202,,---,,25%,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,,,---,---,---,,---,---,,,,,---,,
,A1203,,---,,V,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,---,,,,,---,,
,A1204,,---,,75%,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,---,,,,,---,,
,A1205,,,,,---,,---,---,,,,,,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,---,,,,,---,,
,Corridor - Market Core,,---,---,,---,---,---,---,---,---,,---,---,---,---,---,,---,,---,---,,,,,---,,,,---,---,---,---,---,34%,---,,---,---,,,,---,,
,MC Riser - East,,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_13,A1201,,---,,,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,---,,---,---,---,,---,---,---,,,,---,,
,A1202,,---,,,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,---,,---,---,---,,---,---,---,,,,---,,
,A1203,,---,,,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,---,,---,---,---,,---,---,---,,,,---,,
,A1204,,---,,,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,---,,---,---,---,,---,---,---,,,,---,,
,A1205,,---,,,---,,---,---,,,,,,,---,,,---,,---,---,,,,,,,,,---,---,,---,---,---,,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
