,,"SVP, RWP",Demising Walls,Perimeter Walls And Bulkheads Insulation,Windows,Cable Trays,Perimeter Walls Stud & Board,Plumbing Risers,HVAC Risers,FCU & Ductwork,HVAC 2nd Fix,Pipework,Internal Walls - Frame & One Side,Internal Walls - Closure,Perimeter Bulkheads,Demising Walls - Skim,Internal Walls - Skim,? manual: Pods into final Position,Riser Doors,"? manual: Passive Fire Protection, Acoustic Performance",Electrical Risers,Radiators,Ceilings - Frame,Ceilings - Closure,Ceilings - T&J,Mist Coat,Grills & Diffusers,Underfloor Heating,Subfloor,Hard Flooring,Social Kitchens,Market Kitchens,Carpentry & Joinery,Lobby Doors,Entry Doors,Lift Device,Electrical Fixture,Fire Device,Lightning Fixture,Appliances,? manual: 1st Decoration Coat,? manual: Builders Clean,? manual: Sparkle Clean,Soft Flooring,? manual: Final Decorations,? manual: Final QA Check
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B0306,V,V,73%,V,---,72%,---,---,91%,---,55%,92%,86%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,,,,,,,---,,
,B0307,99%,V,,,---,,---,---,,---,18%,20%,21%,,36%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,Corridor - Social Core,---,V,---,---,98%,---,---,---,---,---,91%,---,---,---,,---,---,,,---,---,---,,---,,---,---,,,---,---,---,,---,,---,---,,---,,,,---,,
,SC Riser - North,---,---,---,---,---,---,---,V,---,---,---,---,---,---,---,---,---,---,,89%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - South,,---,---,---,---,---,46%,V,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - West,V,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_04,B0401,V,V,96%,V,---,97%,---,---,70%,---,53%,98%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0402,V,V,V,V,---,V,---,---,59%,---,42%,99%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0403,V,V,99%,V,---,V,---,---,34%,---,44%,99%,92%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0404,V,V,98%,V,---,V,---,---,48%,---,59%,V,V,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0405,V,V,98%,V,---,V,---,---,,---,60%,V,V,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0406,V,V,67%,V,---,67%,---,---,25%,---,59%,99%,98%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0407,91%,V,,,---,,---,---,,---,17%,,,,35%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,Corridor - Social Core,---,V,---,---,98%,---,---,---,---,---,50%,---,---,---,,---,---,,,---,---,---,,---,,---,---,,,---,---,---,,---,,---,---,,---,,,,---,,
,SC Riser - North,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,92%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - South,,---,---,---,---,---,48%,V,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - West,V,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_05,B0501,V,V,94%,V,---,93%,---,---,15%,---,50%,98%,96%,,17%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0502,V,V,V,V,---,V,---,---,16%,---,54%,97%,94%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0503,V,V,V,V,---,V,---,---,24%,---,46%,99%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0504,V,V,V,V,---,V,---,---,15%,---,66%,V,V,,18%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0505,V,V,V,V,---,V,---,---,15%,---,48%,V,V,,28%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0506,V,V,68%,V,---,67%,---,---,16%,---,63%,98%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0507,V,V,,,---,,---,---,,---,16%,,,,18%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,Corridor - Social Core,---,V,---,---,99%,---,---,---,---,---,45%,---,---,---,,---,---,,,---,---,---,,---,,---,---,,,---,---,---,,---,,---,---,,---,,,,---,,
,SC Riser - North,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,92%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - South,,---,---,---,---,---,51%,V,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - West,V,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
